,song_title,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,url,song_and_artist,cluster
0,roller coaster,Danny Vera,7rO7Pc5dkC2EIW1OKsCJtQ,0.4,0.383,9,-10.048,1,0.0279,0.51,0.00763,0.121,0.285,96.944,269986,https://open.spotify.com/track/7rO7Pc5dkC2EIW1OKsCJtQ,Roller Coaster - Danny Vera,6
1,bohemian rhapsody - remastered 2011,Queen,4u7EnebtmKWzUH433cf5Qv,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,354320,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,Bohemian Rhapsody - Remastered 2011 - Queen,6
2,hotel california - 2013 remaster,Eagles,40riOy7x9W7GXjyGp4pjAv,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster - Eagles,1
3,piano man,Billy Joel,3FCto7hnn1shUyZL42YgfO,0.334,0.472,0,-8.792,1,0.0277,0.6,3.77e-06,0.317,0.431,179.167,336093,https://open.spotify.com/track/3FCto7hnn1shUyZL42YgfO,Piano Man - Billy Joel,1
4,stairway to heaven - remaster,Led Zeppelin,5CQ30WqJwcep0pYcV4AMNc,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,482830,https://open.spotify.com/track/5CQ30WqJwcep0pYcV4AMNc,Stairway to Heaven - Remaster - Led Zeppelin,6
5,black,Pearl Jam,5Xak5fmy089t0FYmh3VJiY,0.36,0.684,4,-6.457,0,0.0308,0.323,0.0,0.34,0.2,77.15,342653,https://open.spotify.com/track/5Xak5fmy089t0FYmh3VJiY,Black - Pearl Jam,1
6,avond,Boudewijn de Groot,3n3F07lHLyRKwqg4q64eYA,0.456,0.37,0,-15.24,1,0.0405,0.617,0.000939,0.136,0.186,99.455,274293,https://open.spotify.com/track/3n3F07lHLyRKwqg4q64eYA,Avond - Boudewijn de Groot,6
7,fix you,Coldplay,7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,295533,https://open.spotify.com/track/7LVHVU3tWfcxj5aiPFEW4Q,Fix You - Coldplay,1
8,wish you were here,Pink Floyd,1HzDhHApjdjXPLHF6GGYhu,0.499,0.318,7,-13.776,1,0.0484,0.718,0.00104,0.379,0.282,121.499,321080,https://open.spotify.com/track/1HzDhHApjdjXPLHF6GGYhu,Wish You Were Here - Pink Floyd,6
9,heroes - 2017 remaster,David Bowie,7Jh1bpe76CNTCgdgAdBw4Z,0.49,0.758,7,-6.491,1,0.0297,0.000671,0.484,0.092,0.435,112.114,371413,https://open.spotify.com/track/7Jh1bpe76CNTCgdgAdBw4Z,Heroes - 2017 Remaster - David Bowie,5
10,love of my life - remastered 2011,Queen,4YJUTdZ0Pgl0ZeNyHYXeLd,0.329,0.179,5,-11.589,1,0.0299,0.933,5.04e-06,0.115,0.255,154.175,217387,https://open.spotify.com/track/4YJUTdZ0Pgl0ZeNyHYXeLd,Love Of My Life - Remastered 2011 - Queen,6
11,soldier on,DI-RECT,5U9iJk3ONTlZCSJrokOP1i,0.353,0.443,3,-7.561,1,0.0284,0.84,0.0,0.105,0.225,179.954,207854,https://open.spotify.com/track/5U9iJk3ONTlZCSJrokOP1i,Soldier On - DI-RECT,6
12,purple rain,Prince,54X78diSLoUDI3joC2bjMz,0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066,520787,https://open.spotify.com/track/54X78diSLoUDI3joC2bjMz,Purple Rain - Prince,4
13,africa,TOTO,2374M0fQpWi3dLnB54qaLX,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,295893,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,Africa - TOTO,6
14,child in time,Deep Purple,21cp8L9Pei4AgysZVihjSv,0.331,0.34,9,-14.784,0,0.0369,0.313,0.607,0.234,0.365,126.672,619267,https://open.spotify.com/track/21cp8L9Pei4AgysZVihjSv,Child in Time - Deep Purple,5
15,november rain,Guns N' Roses,3YRCqOhFifThpSRFJ1VWFM,0.294,0.641,11,-9.316,1,0.0291,0.0163,0.22,0.112,0.226,79.759,536067,https://open.spotify.com/track/3YRCqOhFifThpSRFJ1VWFM,November Rain - Guns N' Roses,1
16,nothing else matters,Metallica,0nLiqZ6A27jJri2VCalIUs,0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352,388267,https://open.spotify.com/track/0nLiqZ6A27jJri2VCalIUs,Nothing Else Matters - Metallica,6
17,brothers in arms,Dire Straits,0CzeAbfKFnxnWjwo5iYiCG,0.413,0.296,8,-13.904,0,0.0277,0.531,0.801,0.183,0.144,79.273,424000,https://open.spotify.com/track/0CzeAbfKFnxnWjwo5iYiCG,Brothers In Arms - Dire Straits,5
18,comfortably numb - 2011 remastered version,Pink Floyd,7Fg4jpwpkdkGCvq1rrXnvx,0.472,0.366,11,-12.595,0,0.0286,0.15,0.308,0.0837,0.171,127.167,382297,https://open.spotify.com/track/7Fg4jpwpkdkGCvq1rrXnvx,Comfortably Numb - 2011 Remastered Version - Pink Floyd,5
19,the sound of silence,Disturbed,1Cj2vqUwlJVG27gJrun92y,0.322,0.28,6,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794,248467,https://open.spotify.com/track/1Cj2vqUwlJVG27gJrun92y,The Sound of Silence - Disturbed,6
20,the river,Bruce Springsteen,7HrzErXq3TsKOY1gmdIShB,0.587,0.536,7,-11.248,1,0.0304,0.179,2.75e-05,0.305,0.59,117.498,301547,https://open.spotify.com/track/7HrzErXq3TsKOY1gmdIShB,The River - Bruce Springsteen,3
21,oceaan,Racoon,4AUASx1KCTQFmpHu7qq6Kr,0.468,0.335,9,-7.888,1,0.0405,0.86,0.0,0.11,0.239,125.881,164757,https://open.spotify.com/track/4AUASx1KCTQFmpHu7qq6Kr,Oceaan - Racoon,6
22,the sound of silence,Simon & Garfunkel,3YfS47QufnLDFA71FUsgCM,0.535,0.225,6,-13.865,1,0.0301,0.869,1.57e-06,0.0988,0.338,107.384,184787,https://open.spotify.com/track/3YfS47QufnLDFA71FUsgCM,The Sound of Silence - Simon & Garfunkel,6
