,song_title,artist
0,way 2 sexy,Drake Featuring Future & Young Thug
1,girls want girls,Drake Featuring Lil Baby
2,fair trade,Drake Featuring Travis Scott
3,champagne poetry,Drake
4,knife talk,Drake Featuring 21 Savage & Project Pat
5,stay,The Kid LAROI & Justin Bieber
6,in the bible,Drake Featuring Lil Durk & Giveon
7,papi's home,Drake
8,tsu,Drake
9,love all,Drake Featuring JAY-Z
10,no friends in the industry,Drake
11,n 2 deep,Drake Featuring Future
12,bad habits,Ed Sheeran
13,pipe down,Drake
14,good 4 u,Olivia Rodrigo
15,7am on bridle path,Drake
16,butter,BTS
17,race my mind,Drake
18,kiss me more,Doja Cat Featuring SZA
19,industry baby,Lil Nas X & Jack Harlow
20,fancy like,Walker Hayes
21,imy2,Drake Featuring Kid Cudi
22,levitating,Dua Lipa
23,yebba's heartbreak,Drake & Yebba
24,you only live twice,Drake Featuring Lil Wayne & Rick Ross
25,fountains,Drake Featuring Tems
26,get along better,Drake Featuring Ty Dolla $ign
27,save your tears,The Weeknd & Ariana Grande
28,hurricane,Kanye West
29,montero (call me by your name),Lil Nas X
30,deja vu,Olivia Rodrigo
31,fucking fans,Drake
32,heat waves,Glass Animals
33,essence,Wizkid Featuring Justin Bieber & Tems
34,the remorse,Drake
35,you right,Doja Cat & The Weeknd
36,take my breath,The Weeknd
37,need to know,Doja Cat
38,beggin',Maneskin
39,leave before you love me,Marshmello X Jonas Brothers
40,off the grid,Kanye West
41,happier than ever,Billie Eilish
42,if i didn't love you,Jason Aldean & Carrie Underwood
43,family ties,Baby Keem & Kendrick Lamar
44,pepas,Farruko
45,leave the door open,Silk Sonic (Bruno Mars & Anderson .Paak)
46,peaches,Justin Bieber Featuring Daniel Caesar & Giveon
47,waves,Luke Bryan
48,traitor,Olivia Rodrigo
49,moon,Kanye West
50,things a man oughta know,Lainey Wilson
51,country again,Thomas Rhett
52,chasing after you,Ryan Hurd With Maren Morris
53,arcade,Duncan Laurence
54,rumors,Lizzo Featuring Cardi B
55,cold beer calling my name,Jameson Rodgers Featuring Luke Combs
56,thot shit,Megan Thee Stallion
57,jail,Kanye West
58,late at night,Roddy Ricch
59,a-o-k,Tai Verdes
60,i was on a boat that day,Old Dominion
61,wockesha,Moneybagg Yo
62,sharing locations,Meek Mill Featuring Lil Baby & Lil Durk
63,every chance i get,DJ Khaled Featuring Lil Baby & Lil Durk
64,ok ok,Kanye West
65,praise god,Kanye West
66,skate,Silk Sonic (Bruno Mars & Anderson .Paak)
67,whole lotta money,BIA Featuring Nicki Minaj
68,love again,Dua Lipa
69,memory i don't mess with,Lee Brice
70,drinkin' beer. talkin' god. amen.,Chase Rice Featuring Florida Georgia Line
71,you time,Scotty McCreery
72,todo de ti,Rauw Alejandro
73,buy dirt,Jordan Davis Featuring Luke Bryan
74,2055,Sleepy Hallow
75,cold as you,Luke Combs
76,volvi,Aventura x Bad Bunny
77,junya,Kanye West
78,drunk (and i don't wanna go home),Elle King & Miranda Lambert
79,woman,Doja Cat
80,we didn't have much,Justin Moore
81,gyalis,Capella Grey
82,wild side,Normani Featuring Cardi B
83,yonaguni,Bad Bunny
84,believe what i say,Kanye West
85,memory,Kane Brown X blackbear
86,blue note$ ii,Meek Mill Featuring Lil Uzi Vert
87,get into it (yuh),Doja Cat
88,my boy,Elvie Shane
89,single saturday night,Cole Swindell
90,jonah,Kanye West
91,you should probably leave,Chris Stapleton
92,don't go yet,Camila Cabello
93,thinking 'bout you,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
94,jesus lord,Kanye West
95,summer of love,Shawn Mendes & Tainy
96,ain't shit,Doja Cat
97,motley crew,Post Malone
98,remote control,Kanye West
99,baddest,"Yung Bleu, Chris Brown & 2 Chainz"
